b, g, r, t
-0.736407, -0.592276, -0.195453, 0.000000
0.423503, 1.636548, 1.633579, 125.000000
-0.552035, 0.437224, -0.458578, 250.000000
-0.592276, -0.195453, -0.204092, 375.000000
1.636548, 1.633579, 1.329638, 500.000000
0.437224, -0.458578, -1.640242, 625.000000
-0.195453, -0.204092, 1.042825, 750.000000
1.633579, 1.329638, 1.629856, 875.000000
-0.458578, -1.640242, -1.066233, 1000.000000
-0.204092, 1.042825, 0.793468, 1125.000000
1.329638, 1.629856, 1.635840, 1250.000000
-1.640242, -1.066233, -1.316187, 1375.000000
1.042825, 0.793468, 0.648872, 1500.000000
1.629856, 1.635840, 2.128480, 1625.000000
-1.066233, -1.316187, -0.577372, 1750.000000
0.793468, 0.648872, 0.850628, 1875.000000
1.635840, 2.128480, 1.922379, 2000.000000
-1.316187, -0.577372, -0.538387, 2125.000000
0.648872, 0.850628, 0.898676, 2250.000000
2.128480, 1.922379, 1.447676, 2375.000000
-0.577372, -0.538387, -0.519776, 2500.000000
0.850628, 0.898676, 1.067421, 2625.000000
1.922379, 1.447676, 0.914367, 2750.000000
-0.538387, -0.519776, -1.154840, 2875.000000
0.898676, 1.067421, 0.638562, 3000.000000
1.447676, 0.914367, 1.146655, 3125.000000
-0.519776, -1.154840, -0.763720, 3250.000000
1.067421, 0.638562, 1.588583, 3375.000000
0.914367, 1.146655, 0.406876, 3500.000000
-1.154840, -0.763720, -0.912902, 3625.000000
0.638562, 1.588583, 1.116517, 3750.000000
1.146655, 0.406876, 0.959716, 3875.000000
-0.763720, -0.912902, -0.242948, 4000.000000
1.588583, 1.116517, 0.058744, 4125.000000
0.406876, 0.959716, 1.097534, 4250.000000
-0.912902, -0.242948, 0.080605, 4375.000000
1.116517, 0.058744, 0.596021, 4500.000000
0.959716, 1.097534, 1.012577, 4625.000000
-0.242948, 0.080605, 0.268058, 4750.000000
0.058744, 0.596021, 0.673123, 4875.000000
1.097534, 1.012577, 0.903636, 5000.000000
0.080605, 0.268058, -0.128237, 5125.000000
0.596021, 0.673123, 0.092600, 5250.000000
1.012577, 0.903636, 1.530298, 5375.000000
0.268058, -0.128237, 0.720024, 5500.000000
0.673123, 0.092600, 0.650640, 5625.000000
0.903636, 1.530298, 1.633931, 5750.000000
-0.128237, 0.720024, 0.876192, 5875.000000
0.092600, 0.650640, 0.149239, 6000.000000
1.530298, 1.633931, 0.820292, 6125.000000
0.720024, 0.876192, 0.148934, 6250.000000
0.650640, 0.149239, 0.318475, 6375.000000
1.633931, 0.820292, 0.706730, 6500.000000
0.876192, 0.148934, -0.081782, 6625.000000
0.149239, 0.318475, 0.291135, 6750.000000
0.820292, 0.706730, 0.492647, 6875.000000
0.148934, -0.081782, -0.242511, 7000.000000
0.318475, 0.291135, -0.068827, 7125.000000
0.706730, 0.492647, -0.155885, 7250.000000
