b,g,r,t
-0.833001, -0.930892, -0.985503, 0.000000
-0.155739, -0.675674, -0.500492, 125.000000
-0.861022, -1.213077, -0.855134, 250.000000
-1.884744, -1.995284, -1.607598, 375.000000
-1.042642, -1.183838, -0.441595, 500.000000
-1.351144, -1.483036, -0.785122, 625.000000
-0.826926, -1.198475, -0.490736, 750.000000
-0.681558, -0.988355, -0.276517, 875.000000
-0.539914, -0.728946, -0.113663, 1000.000000
-0.951522, -0.903364, -0.309533, 1125.000000
-0.775171, -0.882047, -0.384276, 1250.000000
-0.451334, -0.262098, 0.335893, 1375.000000
-0.104790, -0.192696, 0.346596, 1500.000000
-0.161357, -0.434325, -0.175977, 1625.000000
0.195743, -0.029700, 0.337837, 1750.000000
-0.121494, -0.256263, 0.141179, 1875.000000
0.339488, -0.126611, 0.184469, 2000.000000
0.630439, 0.172453, 0.643848, 2125.000000
-0.006468, -0.212622, 0.001212, 2250.000000
-0.141532, -0.270294, -0.016992, 2375.000000
-0.248840, -0.305282, -0.094233, 2500.000000
-0.574206, -0.452210, -0.451549, 2625.000000
-1.209983, -1.359717, -1.471311, 2750.000000
-1.162487, -1.187301, -1.287258, 2875.000000
-1.359571, -1.388997, -1.155857, 3000.000000
-0.675309, -0.731352, -0.431700, 3125.000000
-1.039640, -1.351307, -1.275456, 3250.000000
-1.125838, -1.392154, -1.303626, 3375.000000
-0.696485, -0.668986, -0.279347, 3500.000000
-1.357480, -1.185200, -0.677216, 3625.000000
-1.152117, -1.372614, -0.826764, 3750.000000
-1.389926, -1.409374, -0.602494, 3875.000000
-1.537369, -1.767736, -1.226965, 4000.000000
-1.260481, -1.370099, -0.871659, 4125.000000
-0.884239, -1.102594, -0.553387, 4250.000000
-0.977160, -1.048998, -0.759008, 4375.000000
-1.058319, -1.042606, -0.664209, 4500.000000
-1.043683, -1.207416, -1.168578, 4625.000000
-0.508764, -0.545784, -0.285223, 4750.000000
-0.717920, -0.889667, -0.969169, 4875.000000
-0.066350, -0.251627, -0.309499, 5000.000000
-0.526460, -0.593714, -0.773378, 5125.000000
-0.325438, -0.567524, -0.851075, 5250.000000
0.288464, -0.216939, -0.505767, 5375.000000
0.623420, 0.447583, 0.161743, 5500.000000
1.407774, 1.241521, 1.273504, 5625.000000
0.488742, 0.613604, 0.019209, 5750.000000
0.694760, 0.710268, 0.591089, 5875.000000
0.505143, 0.626220, 0.355464, 6000.000000
0.637170, 0.332131, 0.502250, 6125.000000
0.567344, 0.217692, 0.461670, 6250.000000
0.895735, 0.555979, 1.008267, 6375.000000
1.092869, 0.376391, 0.903049, 6500.000000
0.255216, 0.226775, 0.662417, 6625.000000
-0.441586, 0.044044, -0.042089, 6750.000000
0.438404, 0.968847, 0.834595, 6875.000000
0.978445, 1.260757, 1.083054, 7000.000000
0.587560, 0.641843, 0.054666, 7125.000000
0.366324, 0.743392, 0.032236, 7250.000000
0.338292, 0.961729, 0.281467, 7375.000000
-0.053057, 0.021092, -0.775466, 7500.000000
-0.766277, -0.501884, -1.278761, 7625.000000
-0.117429, 0.203440, -0.599671, 7750.000000
0.181586, 0.404847, -0.138172, 7875.000000
0.195612, 0.262126, -0.437546, 8000.000000
0.405143, 0.518556, 0.250868, 8125.000000
-0.146943, -0.522833, -0.834577, 8250.000000
0.104590, -0.241706, -0.335381, 8375.000000
0.433897, 0.261043, 0.044745, 8500.000000
0.750270, 0.427567, 0.230959, 8625.000000
0.562510, 0.578406, 0.217189, 8750.000000
0.776691, 0.962769, 0.292511, 8875.000000
0.732732, 0.759951, 0.289657, 9000.000000
-0.043932, -0.142470, -0.574260, 9125.000000
0.277261, 0.290561, -0.290420, 9250.000000
0.059259, -0.117661, -0.538750, 9375.000000
0.410195, 0.374518, -0.151412, 9500.000000
0.327590, 0.460613, -0.008942, 9625.000000
-0.020923, 0.309798, -0.258376, 9750.000000
0.366683, 0.426903, 0.185899, 9875.000000
-1.227593, -0.836084, -0.869104, 10000.000000
-2.582345, -2.411823, -2.041967, 10125.000000
-3.958899, -3.701970, -3.396967, 10250.000000
-3.680914, -3.192776, -2.918819, 10375.000000
-3.692966, -3.092589, -2.734297, 10500.000000
-1.952766, -1.556324, -1.272191, 10625.000000
-1.747484, -1.348715, -0.843639, 10750.000000
-1.658830, -1.356649, -0.973526, 10875.000000
-1.171505, -1.392875, -1.344381, 11000.000000
-0.477436, -1.068735, -1.283274, 11125.000000
-0.150442, -0.653661, -0.601549, 11250.000000
-0.350292, -0.494793, -0.692612, 11375.000000
-0.679860, -0.568815, -0.631658, 11500.000000
-0.282820, -0.051375, -0.283104, 11625.000000
-0.247708, -0.002348, -0.087881, 11750.000000
-0.100838, -0.110045, -0.221768, 11875.000000
0.670846, 0.779980, 0.941874, 12000.000000
-0.077062, 0.077682, -0.049755, 12125.000000
0.405608, 0.477524, 0.673614, 12250.000000
-0.638621, 0.230469, 0.009717, 12375.000000
-0.125464, 0.631573, 0.580758, 12500.000000
0.266418, 0.859753, 0.731899, 12625.000000
0.228174, 1.092474, 0.820095, 12750.000000
0.681698, 0.360802, -0.122135, 12875.000000
0.379843, 0.062653, -0.364518, 13000.000000
-0.607354, -0.317615, -0.631385, 13125.000000
-0.270331, -0.183996, -0.531732, 13250.000000
0.499804, 0.894895, 0.787511, 13375.000000
0.213000, 0.410189, 0.076854, 13500.000000
1.178012, 1.329526, 1.401500, 13625.000000
2.586358, 2.480590, 2.728756, 13750.000000
2.522475, 2.686063, 3.031138, 13875.000000
2.318974, 2.160572, 2.592181, 14000.000000
1.393645, 1.824394, 2.228897, 14125.000000
1.121544, 1.513062, 1.675843, 14250.000000
0.864124, 1.316154, 1.514751, 14375.000000
0.904846, 0.947080, 1.214265, 14500.000000
-0.988558, -0.462026, -0.479620, 14625.000000
-0.746183, -0.450173, -0.450006, 14750.000000
-1.490248, -1.029802, -1.480418, 14875.000000
-1.029088, -0.546982, -0.703927, 15000.000000
-0.125277, 0.191403, 0.043260, 15125.000000
-0.523747, -0.334417, -0.337206, 15250.000000
0.215992, 0.147954, 0.427876, 15375.000000
-0.192416, -0.045141, 0.157562, 15500.000000
0.007134, 0.003416, 0.053903, 15625.000000
-0.091842, 0.107585, -0.093835, 15750.000000
